,delirium,extra_harvest,harvest_additional_monster,harvest_t4_wilt,harvest_yellow_sextant,level,lifeforce_quant,mods,name,pack_size,player_iiq,player_iir,quantity,rarity,map_seed,type,plot,favored,t1,t2,t3,t4,t3_name,amount,type_y,normalized
0,0.0,False,0.0,False,False,83,42,"area contains an additional shrine
41% more magic monsters
players cannot inflict exposure
players are cursed with enfeeble
monsters reflect 28% of elemental damage
monsters deal 160% extra physical damage as cold
slaying enemies close together can attract monsters from beyond this realm
unique bosses are possessed
area contains the sacred grove
50% more divination cards found in area
30% more rare elder items found in area
area contains an additional gloom shrine
buffs on players expire 112% faster
200% increased duration of shrine effects on players
50% more unique items found in area
215% increased quantity of items found in this area
119% increased rarity of items found in this area
59% increased pack size",MapWorldsDefiledCathedral,59,22,49,215,119,410195682,vivid,0,True,16,5,2,0,whipleg,137.0,vivid,54.90981963927855
1,0.0,False,0.0,False,False,83,42,"area contains an additional shrine
41% more magic monsters
players cannot inflict exposure
players are cursed with enfeeble
monsters reflect 28% of elemental damage
monsters deal 160% extra physical damage as cold
slaying enemies close together can attract monsters from beyond this realm
unique bosses are possessed
area contains the sacred grove
50% more divination cards found in area
30% more rare elder items found in area
area contains an additional gloom shrine
buffs on players expire 112% faster
200% increased duration of shrine effects on players
50% more unique items found in area
215% increased quantity of items found in this area
119% increased rarity of items found in this area
59% increased pack size",MapWorldsDefiledCathedral,59,22,49,215,119,410195682,vivid,0,True,16,5,2,0,whipleg,109.0,vivid,43.68737474949899
2,0.0,False,0.0,False,False,83,42,"area contains an additional shrine
41% more magic monsters
players cannot inflict exposure
players are cursed with enfeeble
monsters reflect 28% of elemental damage
monsters deal 160% extra physical damage as cold
slaying enemies close together can attract monsters from beyond this realm
unique bosses are possessed
area contains the sacred grove
50% more divination cards found in area
30% more rare elder items found in area
area contains an additional gloom shrine
buffs on players expire 112% faster
200% increased duration of shrine effects on players
50% more unique items found in area
215% increased quantity of items found in this area
119% increased rarity of items found in this area
59% increased pack size",MapWorldsDefiledCathedral,59,22,49,215,119,410195682,vivid,0,True,16,5,2,0,whipleg,94.0,vivid,37.675350701402806
3,0.0,False,0.0,False,False,83,42,"area contains an additional shrine
41% more magic monsters
players cannot inflict exposure
players are cursed with enfeeble
monsters reflect 28% of elemental damage
monsters deal 160% extra physical damage as cold
slaying enemies close together can attract monsters from beyond this realm
unique bosses are possessed
area contains the sacred grove
50% more divination cards found in area
30% more rare elder items found in area
area contains an additional gloom shrine
buffs on players expire 112% faster
200% increased duration of shrine effects on players
50% more unique items found in area
215% increased quantity of items found in this area
119% increased rarity of items found in this area
59% increased pack size",MapWorldsDefiledCathedral,59,22,49,215,119,410195682,vivid,0,True,16,5,2,0,whipleg,103.0,vivid,41.28256513026052
4,0.0,False,0.0,False,False,83,42,"area contains an additional shrine
41% more magic monsters
players cannot inflict exposure
players are cursed with enfeeble
monsters reflect 28% of elemental damage
monsters deal 160% extra physical damage as cold
slaying enemies close together can attract monsters from beyond this realm
unique bosses are possessed
area contains the sacred grove
50% more divination cards found in area
30% more rare elder items found in area
area contains an additional gloom shrine
buffs on players expire 112% faster
200% increased duration of shrine effects on players
50% more unique items found in area
215% increased quantity of items found in this area
119% increased rarity of items found in this area
59% increased pack size",MapWorldsDefiledCathedral,59,22,49,215,119,410195682,vivid,0,True,16,5,2,0,whipleg,55.0,vivid,22.044088176352705
5,0.0,False,0.0,False,False,83,42,"area contains an additional shrine
41% more magic monsters
players cannot inflict exposure
players are cursed with enfeeble
monsters reflect 28% of elemental damage
monsters deal 160% extra physical damage as cold
slaying enemies close together can attract monsters from beyond this realm
unique bosses are possessed
area contains the sacred grove
50% more divination cards found in area
30% more rare elder items found in area
area contains an additional gloom shrine
buffs on players expire 112% faster
200% increased duration of shrine effects on players
50% more unique items found in area
215% increased quantity of items found in this area
119% increased rarity of items found in this area
59% increased pack size",MapWorldsDefiledCathedral,59,22,49,215,119,410195682,vivid,0,True,16,5,2,0,whipleg,55.0,vivid,22.044088176352705
6,0.0,False,0.0,False,False,83,42,"area contains an additional shrine
41% more magic monsters
players cannot inflict exposure
players are cursed with enfeeble
monsters reflect 28% of elemental damage
monsters deal 160% extra physical damage as cold
slaying enemies close together can attract monsters from beyond this realm
unique bosses are possessed
area contains the sacred grove
50% more divination cards found in area
30% more rare elder items found in area
area contains an additional gloom shrine
buffs on players expire 112% faster
200% increased duration of shrine effects on players
50% more unique items found in area
215% increased quantity of items found in this area
119% increased rarity of items found in this area
59% increased pack size",MapWorldsDefiledCathedral,59,22,49,215,119,410195682,vivid,0,True,16,5,2,0,whipleg,13.0,vivid,5.210420841683367
7,0.0,False,0.0,False,False,83,42,"area contains an additional shrine
41% more magic monsters
players cannot inflict exposure
players are cursed with enfeeble
monsters reflect 28% of elemental damage
monsters deal 160% extra physical damage as cold
slaying enemies close together can attract monsters from beyond this realm
unique bosses are possessed
area contains the sacred grove
50% more divination cards found in area
30% more rare elder items found in area
area contains an additional gloom shrine
buffs on players expire 112% faster
200% increased duration of shrine effects on players
50% more unique items found in area
215% increased quantity of items found in this area
119% increased rarity of items found in this area
59% increased pack size",MapWorldsDefiledCathedral,59,22,49,215,119,410195682,wild,2,True,17,5,1,0,infestation queen,136.0,wild,54.50901803607214
8,0.0,False,0.0,False,False,83,42,"area contains an additional shrine
41% more magic monsters
players cannot inflict exposure
players are cursed with enfeeble
monsters reflect 28% of elemental damage
monsters deal 160% extra physical damage as cold
slaying enemies close together can attract monsters from beyond this realm
unique bosses are possessed
area contains the sacred grove
50% more divination cards found in area
30% more rare elder items found in area
area contains an additional gloom shrine
buffs on players expire 112% faster
200% increased duration of shrine effects on players
50% more unique items found in area
215% increased quantity of items found in this area
119% increased rarity of items found in this area
59% increased pack size",MapWorldsDefiledCathedral,59,22,49,215,119,410195682,wild,2,True,17,5,1,0,infestation queen,122.0,wild,48.897795591182366
9,0.0,False,0.0,False,False,83,42,"area contains an additional shrine
41% more magic monsters
players cannot inflict exposure
players are cursed with enfeeble
monsters reflect 28% of elemental damage
monsters deal 160% extra physical damage as cold
slaying enemies close together can attract monsters from beyond this realm
unique bosses are possessed
area contains the sacred grove
50% more divination cards found in area
30% more rare elder items found in area
area contains an additional gloom shrine
buffs on players expire 112% faster
200% increased duration of shrine effects on players
50% more unique items found in area
215% increased quantity of items found in this area
119% increased rarity of items found in this area
59% increased pack size",MapWorldsDefiledCathedral,59,22,49,215,119,410195682,wild,2,True,17,5,1,0,infestation queen,46.0,wild,18.43687374749499
